종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유
018290,브이티,2022Q3,2022-11-11,정기보고서,브랜드,v1,False,2022-11-11,2팩터시장모델,220,-0.0011806850347025055,0.6969406148420156,0.2661954985288589,0.518530908482923,-0.021782086003076365,-0.013826981412602296,-0.021695911990432734,0.0338930978150153,018290_2022Q3,
018290,브이티,2022Q4,2023-02-28,잠정실적,브랜드,v1,False,2023-02-28,2팩터시장모델,220,-0.0005779883733955923,0.6333945622573482,0.19839204808998373,0.43014502057050874,0.02569597444826445,0.020471085053679127,0.13117090429911854,-0.06614767725900632,018290_2022Q4,
018290,브이티,2023Q1,2023-05-15,정기보고서,브랜드,v1,False,2023-05-15,2팩터시장모델,220,-0.00016861562063102647,0.6629297767258424,0.23969318870304598,0.4054841608363422,0.011430482652307491,0.00330736344822297,0.11025433942984723,-0.08421661542018649,018290_2023Q1,
018290,브이티,2023Q2,2023-08-11,정기보고서,브랜드,v1,False,2023-08-11,2팩터시장모델,220,0.0024074427795704274,0.6353595575766935,0.23796691544069987,0.19034064752445568,0.07396906873850659,0.025376331801118087,0.42750311297437005,0.055843347999363406,018290_2023Q2,
018290,브이티,2023Q3,2023-11-09,정기보고서,브랜드,v1,False,2023-11-09,2팩터시장모델,220,0.00570120089709138,0.5483158875065988,0.4559783917469119,0.13708058191943473,0.013172882343015228,0.08952278902385548,-0.21930803473117771,0.02898563357433529,018290_2023Q3,
018290,브이티,2023Q4,2024-02-26,잠정실적,브랜드,v1,False,2024-02-26,2팩터시장모델,220,0.004974119934181235,0.8756302160810021,0.5659199018510017,0.19769974937196977,-0.06609966929138232,-0.1396666595612865,-0.14628015232785285,-0.03145748479678255,018290_2023Q4,
018290,브이티,2024Q1,2024-05-13,정기보고서,브랜드,v1,False,2024-05-13,2팩터시장모델,220,0.005121651244536292,0.9404627640587245,0.7839639829334973,0.2198485554868317,0.0014168189641939472,0.030442622905496514,0.085923142406677,-0.024171128737145053,018290_2024Q1,
018290,브이티,2024Q2,2024-08-12,정기보고서,브랜드,v1,False,2024-08-12,2팩터시장모델,220,0.006756903567285381,0.8755960855442453,1.051956818288758,0.2918450651727166,-0.12548897889635904,-0.17339417315985944,-0.12608069073571093,0.269965354169994,018290_2024Q2,
018290,브이티,2024Q3,2024-11-14,정기보고서,브랜드,v1,False,2024-11-14,2팩터시장모델,220,0.0034493524958810404,1.0215998971522984,1.1237823298493776,0.3576487927474562,0.045989900202890205,0.05586846936504273,0.34475472763308923,0.14967318992882855,018290_2024Q3,
018290,브이티,2024Q4,2025-02-26,잠정실적,브랜드,v1,False,2025-02-26,2팩터시장모델,220,0.006105721599016535,1.3571873509492112,1.308908242275486,0.45819511680001057,-0.052446269555248164,-0.11976341735779417,-0.22204326456623946,-0.049030486740443684,018290_2024Q4,
