종목코드,종목명,유형,포함버전,corp_code,DART기업명,매핑성공
090430,아모레퍼시픽,브랜드,v1,00583424,아모레퍼시픽,True
278470,에이피알,브랜드,v1,01190568,에이피알,True
237880,클리오,브랜드,v1,00957735,클리오,True
018290,브이티,브랜드,v1,00150165,브이티,True
092730,네오팜,브랜드,v1,00551920,네오팜,True
483650,달바글로벌,브랜드,v1,01649204,달바글로벌,True
161890,한국콜마,ODM,v1,00939331,한국콜마,True
192820,코스맥스,ODM,v1,01009789,코스맥스,True
241710,코스메카코리아,ODM,v1,00763473,코스메카코리아,True
257720,실리콘투,유통,v1,00982023,실리콘투,True
114840,아이패밀리에스씨,유통,v1,00692254,아이패밀리에스씨,True
214450,파마리서치,메디컬,v2,00970453,파마리서치,True
