종목코드,종목명,유형,포함버전,corp_code,공시유형,접수일자,접수번호,제출인,공시명,정정여부,구분,대상연도,대상분기
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20260814,20260814002449,아모레퍼시픽,반기보고서 (2026.06),False,정기보고서,2026.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20260515,20260515001182,아모레퍼시픽,분기보고서 (2026.03),False,정기보고서,2026.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20260318,20260318000785,아모레퍼시픽,사업보고서 (2025.12),False,정기보고서,2025.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20251114,20251114001075,아모레퍼시픽,분기보고서 (2025.09),False,정기보고서,2025.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20250814,20250814001993,아모레퍼시픽,반기보고서 (2025.06),False,정기보고서,2025.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20250515,20250515001510,아모레퍼시픽,분기보고서 (2025.03),False,정기보고서,2025.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20250317,20250317000429,아모레퍼시픽,사업보고서 (2024.12),False,정기보고서,2024.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20241114,20241114001073,아모레퍼시픽,분기보고서 (2024.09),False,정기보고서,2024.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20240814,20240814002094,아모레퍼시픽,반기보고서 (2024.06),False,정기보고서,2024.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20240516,20240516000601,아모레퍼시픽,분기보고서 (2024.03),False,정기보고서,2024.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20240307,20240307000545,아모레퍼시픽,사업보고서 (2023.12),False,정기보고서,2023.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20231114,20231114001116,아모레퍼시픽,분기보고서 (2023.09),False,정기보고서,2023.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20230814,20230814001440,아모레퍼시픽,반기보고서 (2023.06),False,정기보고서,2023.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20230515,20230515000993,아모레퍼시픽,분기보고서 (2023.03),False,정기보고서,2023.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20230309,20230309000802,아모레퍼시픽,사업보고서 (2022.12),False,정기보고서,2022.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,정기공시,20221114,20221114001205,아모레퍼시픽,분기보고서 (2022.09),False,정기보고서,2022.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260819,20260819800243,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260810,20260810800339,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260730,20260730800354,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2026.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260723,20260723800423,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260715,20260715800680,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260619,20260619800404,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260602,20260602800397,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260528,20260528800937,아모레퍼시픽,기업지배구조보고서공시,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260528,20260528800845,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260526,20260526800321,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260508,20260508800151,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260429,20260429800003,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2026.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260421,20260421800347,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260414,20260414800486,아모레퍼시픽,공정거래자율준수프로그램운영현황(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260403,20260403800887,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260330,20260330801880,아모레퍼시픽,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),True,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260330,20260330801864,아모레퍼시픽,[기재정정]정기주주총회결과,True,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260330,20260330801828,아모레퍼시픽,[기재정정]현금ㆍ현물배당결정,True,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260326,20260326801636,아모레퍼시픽,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260326,20260326801519,아모레퍼시픽,정기주주총회결과,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260318,20260318800671,아모레퍼시픽,감사보고서제출,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260309,20260309800630,아모레퍼시픽,[기재정정]주주총회소집결의,True,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260303,20260303800840,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260220,20260220800370,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260206,20260206802547,아모레퍼시픽,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260206,20260206802397,아모레퍼시픽,주주총회소집결의,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260206,20260206802509,아모레퍼시픽,현금ㆍ현물배당결정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260206,20260206802229,아모레퍼시픽,매출액또는손익구조30%(대규모법인은15%)이상변경,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260206,20260206801986,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20260130,20260130800379,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251229,20251229800698,아모레퍼시픽,공정거래자율준수프로그램운영현황(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251215,20251215800219,아모레퍼시픽,기타경영사항(자율공시)              (배당기준일 안내),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251215,20251215800205,아모레퍼시픽,주주명부폐쇄기간또는기준일설정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251118,20251118800192,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251113,20251113801047,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251106,20251106800638,아모레퍼시픽,기업가치제고계획(자율공시)              (2025년 이행현황),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251106,20251106800593,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,3.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20251029,20251029800656,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250923,20250923800144,아모레퍼시픽,연결재무제표기준영업실적등에대한전망(공정공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250918,20250918800312,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250910,20250910800354,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250902,20250902800146,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250902,20250902800141,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250819,20250819800145,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250814,20250814801130,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250808,20250808800477,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250801,20250801800235,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,2.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250724,20250724800560,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250530,20250530800534,아모레퍼시픽,기업지배구조보고서공시,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250529,20250529800058,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250514,20250514800100,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250514,20250514800096,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250430,20250430800003,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2025.0,1.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250423,20250423800074,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250325,20250325801304,아모레퍼시픽,정기주주총회결과,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250324,20250324800604,아모레퍼시픽,기업설명회(IR)개최(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250319,20250319800094,아모레퍼시픽,공정거래자율준수프로그램운영현황(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250317,20250317800312,아모레퍼시픽,감사보고서제출,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250206,20250206801025,아모레퍼시픽,주주총회소집결의,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250206,20250206801009,아모레퍼시픽,매출액또는손익구조30%(대규모법인은15%)이상변경,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250206,20250206801075,아모레퍼시픽,현금ㆍ현물배당결정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250206,20250206801048,아모레퍼시픽,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250206,20250206800727,아모레퍼시픽,연결재무제표기준영업(잠정)실적(공정공시),False,잠정실적,2024.0,4.0
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250124,20250124800316,아모레퍼시픽,결산실적공시예고(안내공시),False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20250122,20250122800124,아모레퍼시픽,최대주주등소유주식변동신고서,False,,,
090430,아모레퍼시픽,브랜드,v1,00583424,거래소공시,20241213,20241213800934,아모레퍼시픽,기타경영사항(자율공시)              (배당기준일 변경 안내),False,,,
