종목코드,종목명,유형,포함버전,corp_code,공시유형,접수일자,접수번호,제출인,공시명,정정여부,구분,대상연도,대상분기
018290,브이티,브랜드,v1,00150165,정기공시,20221111,20221111000592,브이티,분기보고서 (2022.09),False,정기보고서,2022.0,3.0
018290,브이티,브랜드,v1,00150165,거래소공시,20230228,20230228900515,브이티,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2022.0,4.0
018290,브이티,브랜드,v1,00150165,거래소공시,20230314,20230314901282,브이티,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동,True,잠정실적,2022.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20230321,20230321000980,브이티,사업보고서 (2022.12),False,정기보고서,2022.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20230515,20230515001206,브이티,분기보고서 (2023.03),False,정기보고서,2023.0,1.0
018290,브이티,브랜드,v1,00150165,정기공시,20230811,20230811001951,브이티,[기재정정]반기보고서 (2023.06),True,정기보고서,2023.0,2.0
018290,브이티,브랜드,v1,00150165,정기공시,20230811,20230811001560,브이티,반기보고서 (2023.06),False,정기보고서,2023.0,2.0
018290,브이티,브랜드,v1,00150165,정기공시,20231109,20231109000309,브이티,분기보고서 (2023.09),False,정기보고서,2023.0,3.0
018290,브이티,브랜드,v1,00150165,정기공시,20231124,20231124000366,브이티,[기재정정]반기보고서 (2023.06),True,정기보고서,2023.0,2.0
018290,브이티,브랜드,v1,00150165,거래소공시,20240226,20240226900528,브이티,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2023.0,4.0
018290,브이티,브랜드,v1,00150165,거래소공시,20240313,20240313901061,브이티,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동,True,잠정실적,2023.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20240320,20240320001799,브이티,사업보고서 (2023.12),False,정기보고서,2023.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20240513,20240513000616,브이티,분기보고서 (2024.03),False,정기보고서,2024.0,1.0
018290,브이티,브랜드,v1,00150165,정기공시,20240812,20240812000634,브이티,반기보고서 (2024.06),False,정기보고서,2024.0,2.0
018290,브이티,브랜드,v1,00150165,정기공시,20240813,20240812001019,브이티,[기재정정]반기보고서 (2024.06),True,정기보고서,2024.0,2.0
018290,브이티,브랜드,v1,00150165,정기공시,20241114,20241114002071,브이티,분기보고서 (2024.09),False,정기보고서,2024.0,3.0
018290,브이티,브랜드,v1,00150165,거래소공시,20250226,20250226900601,브이티,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2024.0,4.0
018290,브이티,브랜드,v1,00150165,거래소공시,20250312,20250312900885,브이티,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동,True,잠정실적,2024.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20250319,20250319000919,브이티,사업보고서 (2024.12),False,정기보고서,2024.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20250513,20250513000509,브이티,분기보고서 (2025.03),False,정기보고서,2025.0,1.0
018290,브이티,브랜드,v1,00150165,정기공시,20250812,20250812000592,브이티,반기보고서 (2025.06),False,정기보고서,2025.0,2.0
018290,브이티,브랜드,v1,00150165,정기공시,20251114,20251114001429,브이티,분기보고서 (2025.09),False,정기보고서,2025.0,3.0
018290,브이티,브랜드,v1,00150165,거래소공시,20260226,20260226901115,브이티,매출액또는손익구조30%(대규모법인은15%)이상변동,False,잠정실적,2025.0,4.0
018290,브이티,브랜드,v1,00150165,거래소공시,20260312,20260312901133,브이티,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동,True,잠정실적,2025.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20260319,20260319001002,브이티,사업보고서 (2025.12),False,정기보고서,2025.0,4.0
018290,브이티,브랜드,v1,00150165,정기공시,20260515,20260515002975,브이티,분기보고서 (2026.03),False,정기보고서,2026.0,1.0
018290,브이티,브랜드,v1,00150165,정기공시,20260813,20260813001156,브이티,반기보고서 (2026.06),False,정기보고서,2026.0,2.0
