종목코드,종목명,유형,포함버전,corp_code,대상연도,대상분기,분기,발표일,접수번호,세부구분,정보출처,공시명,첫거래일,상장후개월,상장직후
018290,브이티,브랜드,v1,150165,2022,3,2022Q3,2022-11-11,20221111000592,정기보고서,정기보고서,분기보고서 (2022.09),2014-05-22,101.7,False
018290,브이티,브랜드,v1,150165,2022,4,2022Q4,2023-02-28,20230228900515,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2014-05-22,105.3,False
018290,브이티,브랜드,v1,150165,2023,1,2023Q1,2023-05-15,20230515001206,정기보고서,정기보고서,분기보고서 (2023.03),2014-05-22,107.8,False
018290,브이티,브랜드,v1,150165,2023,2,2023Q2,2023-08-11,20230811001560,정기보고서,정기보고서,반기보고서 (2023.06),2014-05-22,110.6,False
018290,브이티,브랜드,v1,150165,2023,3,2023Q3,2023-11-09,20231109000309,정기보고서,정기보고서,분기보고서 (2023.09),2014-05-22,113.6,False
018290,브이티,브랜드,v1,150165,2023,4,2023Q4,2024-02-26,20240226900528,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2014-05-22,117.2,False
018290,브이티,브랜드,v1,150165,2024,1,2024Q1,2024-05-13,20240513000616,정기보고서,정기보고서,분기보고서 (2024.03),2014-05-22,119.7,False
018290,브이티,브랜드,v1,150165,2024,2,2024Q2,2024-08-12,20240812000634,정기보고서,정기보고서,반기보고서 (2024.06),2014-05-22,122.7,False
018290,브이티,브랜드,v1,150165,2024,3,2024Q3,2024-11-14,20241114002071,정기보고서,정기보고서,분기보고서 (2024.09),2014-05-22,125.8,False
018290,브이티,브랜드,v1,150165,2024,4,2024Q4,2025-02-26,20250226900601,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2014-05-22,129.2,False
018290,브이티,브랜드,v1,150165,2025,1,2025Q1,2025-05-13,20250513000509,정기보고서,정기보고서,분기보고서 (2025.03),2014-05-22,131.7,False
018290,브이티,브랜드,v1,150165,2025,2,2025Q2,2025-08-12,20250812000592,정기보고서,정기보고서,반기보고서 (2025.06),2014-05-22,134.7,False
018290,브이티,브랜드,v1,150165,2025,3,2025Q3,2025-11-14,20251114001429,정기보고서,정기보고서,분기보고서 (2025.09),2014-05-22,137.8,False
018290,브이티,브랜드,v1,150165,2025,4,2025Q4,2026-02-26,20260226901115,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2014-05-22,141.2,False
018290,브이티,브랜드,v1,150165,2026,1,2026Q1,2026-05-15,20260515002975,정기보고서,정기보고서,분기보고서 (2026.03),2014-05-22,143.8,False
018290,브이티,브랜드,v1,150165,2026,2,2026Q2,2026-08-13,20260813001156,정기보고서,정기보고서,반기보고서 (2026.06),2014-05-22,146.7,False
090430,아모레퍼시픽,브랜드,v1,583424,2022,3,2022Q3,2022-10-31,20221031800374,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,101.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2022,4,2022Q4,2023-02-01,20230201800392,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,104.4,False
090430,아모레퍼시픽,브랜드,v1,583424,2023,1,2023Q1,2023-05-02,20230502800525,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,107.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2023,2,2023Q2,2023-07-26,20230726800202,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,110.1,False
090430,아모레퍼시픽,브랜드,v1,583424,2023,3,2023Q3,2023-10-31,20231031800007,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,113.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2023,4,2023Q4,2024-01-30,20240130800423,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,116.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2024,1,2024Q1,2024-04-29,20240429800584,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,119.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2024,2,2024Q2,2024-08-06,20240806800655,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,122.5,False
090430,아모레퍼시픽,브랜드,v1,583424,2024,3,2024Q3,2024-10-31,20241031800447,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,125.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2024,4,2024Q4,2025-02-06,20250206800727,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,128.5,False
090430,아모레퍼시픽,브랜드,v1,583424,2025,1,2025Q1,2025-04-30,20250430800003,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,131.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2025,2,2025Q2,2025-08-01,20250801800235,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,134.3,False
090430,아모레퍼시픽,브랜드,v1,583424,2025,3,2025Q3,2025-11-06,20251106800593,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,137.5,False
090430,아모레퍼시픽,브랜드,v1,583424,2025,4,2025Q4,2026-02-06,20260206801986,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,140.5,False
090430,아모레퍼시픽,브랜드,v1,583424,2026,1,2026Q1,2026-04-29,20260429800003,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,143.2,False
090430,아모레퍼시픽,브랜드,v1,583424,2026,2,2026Q2,2026-07-30,20260730800354,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,146.3,False
092730,네오팜,브랜드,v1,551920,2022,3,2022Q3,2022-11-04,20221104900354,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,101.4,False
092730,네오팜,브랜드,v1,551920,2022,4,2022Q4,2023-02-07,20230207900674,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,104.6,False
092730,네오팜,브랜드,v1,551920,2023,1,2023Q1,2023-05-04,20230504900484,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,107.4,False
092730,네오팜,브랜드,v1,551920,2023,2,2023Q2,2023-08-04,20230804900290,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,110.4,False
092730,네오팜,브랜드,v1,551920,2023,3,2023Q3,2023-11-03,20231103900414,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,113.4,False
092730,네오팜,브랜드,v1,551920,2023,4,2023Q4,2024-02-02,20240202900725,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,116.4,False
092730,네오팜,브랜드,v1,551920,2024,1,2024Q1,2024-05-03,20240503900453,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,119.4,False
092730,네오팜,브랜드,v1,551920,2024,2,2024Q2,2024-08-02,20240802900359,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,122.4,False
092730,네오팜,브랜드,v1,551920,2024,3,2024Q3,2024-11-01,20241101900353,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,125.4,False
092730,네오팜,브랜드,v1,551920,2024,4,2024Q4,2025-02-04,20250204900679,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,128.5,False
092730,네오팜,브랜드,v1,551920,2025,1,2025Q1,2025-05-09,20250509900409,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,131.6,False
092730,네오팜,브랜드,v1,551920,2025,2,2025Q2,2025-08-01,20250801900776,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,134.3,False
092730,네오팜,브랜드,v1,551920,2025,3,2025Q3,2025-11-07,20251107900485,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,137.5,False
092730,네오팜,브랜드,v1,551920,2025,4,2025Q4,2026-01-27,20260127900433,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,140.2,False
092730,네오팜,브랜드,v1,551920,2026,1,2026Q1,2026-05-08,20260508900861,별도잠정,잠정실적,영업(잠정)실적(공정공시),2014-05-22,143.5,False
092730,네오팜,브랜드,v1,551920,2026,2,2026Q2,2026-08-07,20260807900581,별도잠정,잠정실적,영업(잠정)실적(공정공시),2014-05-22,146.5,False
114840,아이패밀리에스씨,유통,v1,692254,2022,3,2022Q3,2022-11-14,20221114000186,정기보고서,정기보고서,분기보고서 (2022.09),2021-10-28,12.5,False
114840,아이패밀리에스씨,유통,v1,692254,2022,4,2022Q4,2023-02-16,20230216900167,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2021-10-28,15.6,False
114840,아이패밀리에스씨,유통,v1,692254,2023,1,2023Q1,2023-05-15,20230515000799,정기보고서,정기보고서,분기보고서 (2023.03),2021-10-28,18.5,False
114840,아이패밀리에스씨,유통,v1,692254,2023,2,2023Q2,2023-08-14,20230814000830,정기보고서,정기보고서,반기보고서 (2023.06),2021-10-28,21.5,False
114840,아이패밀리에스씨,유통,v1,692254,2023,3,2023Q3,2023-11-13,20231113000110,정기보고서,정기보고서,분기보고서 (2023.09),2021-10-28,24.5,False
114840,아이패밀리에스씨,유통,v1,692254,2023,4,2023Q4,2024-02-14,20240214900627,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2021-10-28,27.6,False
114840,아이패밀리에스씨,유통,v1,692254,2024,1,2024Q1,2024-05-10,20240510000334,정기보고서,정기보고서,분기보고서 (2024.03),2021-10-28,30.4,False
114840,아이패밀리에스씨,유통,v1,692254,2024,2,2024Q2,2024-08-09,20240809000237,정기보고서,정기보고서,반기보고서 (2024.06),2021-10-28,33.4,False
114840,아이패밀리에스씨,유통,v1,692254,2024,3,2024Q3,2024-11-11,20241111000041,정기보고서,정기보고서,분기보고서 (2024.09),2021-10-28,36.5,False
114840,아이패밀리에스씨,유통,v1,692254,2024,4,2024Q4,2025-02-10,20250210901208,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동,2021-10-28,39.5,False
114840,아이패밀리에스씨,유통,v1,692254,2025,1,2025Q1,2025-05-08,20250508000370,정기보고서,정기보고서,분기보고서 (2025.03),2021-10-28,42.3,False
114840,아이패밀리에스씨,유통,v1,692254,2025,2,2025Q2,2025-08-14,20250814001244,정기보고서,정기보고서,반기보고서 (2025.06),2021-10-28,45.5,False
114840,아이패밀리에스씨,유통,v1,692254,2025,3,2025Q3,2025-11-14,20251114000329,정기보고서,정기보고서,분기보고서 (2025.09),2021-10-28,48.6,False
114840,아이패밀리에스씨,유통,v1,692254,2025,4,2025Q4,2026-03-19,20260319000741,정기보고서,정기보고서,사업보고서 (2025.12),2021-10-28,52.7,False
114840,아이패밀리에스씨,유통,v1,692254,2026,1,2026Q1,2026-05-15,20260515000627,정기보고서,정기보고서,분기보고서 (2026.03),2021-10-28,54.5,False
114840,아이패밀리에스씨,유통,v1,692254,2026,2,2026Q2,2026-08-13,20260813000938,정기보고서,정기보고서,반기보고서 (2026.06),2021-10-28,57.5,False
161890,한국콜마,ODM,v1,939331,2022,3,2022Q3,2022-11-11,20221111800128,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,101.7,False
161890,한국콜마,ODM,v1,939331,2022,4,2022Q4,2023-02-27,20230227800256,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,105.2,False
161890,한국콜마,ODM,v1,939331,2023,1,2023Q1,2023-05-12,20230512800082,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,107.7,False
161890,한국콜마,ODM,v1,939331,2023,2,2023Q2,2023-08-11,20230811800057,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,110.6,False
161890,한국콜마,ODM,v1,939331,2023,3,2023Q3,2023-11-10,20231110800086,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,113.6,False
161890,한국콜마,ODM,v1,939331,2023,4,2023Q4,2024-02-08,20240208800784,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동(자회사의 주요경영사항),2014-05-22,116.6,False
161890,한국콜마,ODM,v1,939331,2024,1,2024Q1,2024-05-10,20240510800096,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,119.6,False
161890,한국콜마,ODM,v1,939331,2024,2,2024Q2,2024-08-09,20240809800087,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,122.6,False
161890,한국콜마,ODM,v1,939331,2024,3,2024Q3,2024-11-08,20241108800103,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,125.6,False
161890,한국콜마,ODM,v1,939331,2024,4,2024Q4,2025-02-11,20250211800581,손익변동,잠정실적,매출액또는손익구조30%(대규모법인은15%)이상변동(자회사의 주요경영사항),2014-05-22,128.7,False
161890,한국콜마,ODM,v1,939331,2025,1,2025Q1,2025-05-09,20250509800090,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,131.6,False
161890,한국콜마,ODM,v1,939331,2025,2,2025Q2,2025-08-08,20250808800057,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,134.6,False
161890,한국콜마,ODM,v1,939331,2025,3,2025Q3,2025-11-07,20251107800058,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,137.5,False
161890,한국콜마,ODM,v1,939331,2025,4,2025Q4,2026-02-25,20260225800394,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,141.2,False
161890,한국콜마,ODM,v1,939331,2026,1,2026Q1,2026-05-08,20260508800088,연결잠정,잠정실적,연결재무제표기준영업(잠정)실적(공정공시),2014-05-22,143.5,False
