종목코드,종목명,연도,분기,기준,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,산출방식,OPM,분기라벨
018290,브이티,2021,1,연결,229082438358.0,123641074046.0,105441364312.0,44363506685.0,6075861502.0,9399021610.0,직접,0.1369562948470515,2021Q1
018290,브이티,2021,2,연결,232483288226.0,118550995194.0,113932293032.0,51278339185.0,6666625964.0,4554308174.0,직접,0.13000861708778058,2021Q2
018290,브이티,2021,3,연결,234667200349.0,117186188718.0,117481011631.0,47517162815.0,4024514753.0,5197222457.0,직접,0.08469602380657204,2021Q3
018290,브이티,2021,4,연결,207647598183.0,97556949272.0,110090648911.0,83610592664.0,9623740237.0,-1652977250.0,역산,0.11510192584896806,2021Q4
018290,브이티,2022,1,연결,204721232997.0,92066815762.0,112654417235.0,57306164572.0,8243515807.0,7138282326.0,직접,0.1438504193845109,2022Q1
018290,브이티,2022,2,연결,200832506759.0,93169112459.0,107663394300.0,57224892296.0,5501569567.0,3724873322.0,직접,0.09613944817130844,2022Q2
018290,브이티,2022,3,연결,198642906047.0,95854654735.0,102788251312.0,53553796879.0,2655552956.0,1994896823.0,직접,0.04958664204519399,2022Q3
018290,브이티,2022,4,연결,220697040717.0,117948797560.0,102748243157.0,72156451822.0,7152186899.0,346900742.0,역산,0.09912054595815573,2022Q4
018290,브이티,2023,1,연결,245744713745.0,140958716235.0,104785997510.0,47886326320.0,617719011.0,1464199683.0,직접,0.012899695142034859,2023Q1
018290,브이티,2023,2,연결,224612506873.0,109304068425.0,115308438448.0,74694470696.0,11716013172.0,7704215752.0,직접,0.15685248269156568,2023Q2
018290,브이티,2023,3,연결,242952178866.0,111372832097.0,131579346769.0,84105922279.0,14377651343.0,9404822909.0,직접,0.1709469553797389,2023Q3
018290,브이티,2023,4,연결,256624726190.0,109308015301.0,147316710889.0,88814664258.0,18835229927.0,13117225968.0,역산,0.2120734237342277,2023Q4
018290,브이티,2024,1,연결,298560858042.0,137720433642.0,160840424400.0,101800273659.0,23964930578.0,18362650782.0,직접,0.235411258895779,2024Q1
018290,브이티,2024,2,연결,309314047680.0,132867986159.0,176446061521.0,113352649646.0,27022616665.0,16069546562.0,직접,0.23839422147952918,2024Q2
018290,브이티,2024,3,연결,341922529353.0,122470319959.0,219452209394.0,104139979284.0,30833354335.0,33254771835.0,직접,0.29607605596803893,2024Q3
018290,브이티,2024,4,연결,359606110018.0,118903508491.0,240702601527.0,112403907372.0,29077758486.0,36311736192.0,역산,0.2586899260518351,2024Q4
018290,브이티,2025,1,연결,370696203736.0,113065042745.0,257631160991.0,100449659941.0,29017313043.0,23338638273.0,직접,0.28887417896729145,2025Q1
018290,브이티,2025,2,연결,381274680579.0,102171414402.0,279103266177.0,111520825859.0,29066880443.0,21267639845.0,직접,0.2606408284650829,2025Q2
018290,브이티,2025,3,연결,339728376202.0,93150600895.0,246577775307.0,110219156432.0,12123907082.0,8795518898.0,직접,0.10999818429457747,2025Q3
018290,브이티,2025,4,연결,353501351205.0,100244638736.0,253256712469.0,114994014199.0,12661114191.0,10803644506.0,역산,0.11010237601663012,2025Q4
018290,브이티,2026,1,연결,368179337493.0,96363933011.0,271815404482.0,114290932582.0,17333482678.0,18404226841.0,직접,0.1516610485749934,2026Q1
018290,브이티,2026,2,연결,376321807368.0,101244383960.0,275077423408.0,131668235835.0,10678686238.0,3222848790.0,직접,0.08110297954764117,2026Q2
090430,아모레퍼시픽,2021,1,연결,5745671200543.0,1189386586382.0,4556284614161.0,1252783827950.0,176244375570.0,137646826327.0,직접,0.14068219244049351,2021Q1
090430,아모레퍼시픽,2021,2,연결,5805828397087.0,1187352774667.0,4618475622420.0,1176655740224.0,91219161378.0,59198666657.0,직접,0.07752408649333117,2021Q2
090430,아모레퍼시픽,2021,3,연결,6125641755414.0,1281043172683.0,4844598582731.0,1108940816390.0,50339588177.0,38452479523.0,직접,0.04539429646108023,2021Q3
090430,아모레퍼시픽,2021,4,연결,6116713932912.0,1372414055290.0,4744299877622.0,1324748112135.0,25554683925.0,-54440278530.0,역산,0.01929022105479009,2021Q4
090430,아모레퍼시픽,2022,1,연결,6026519066324.0,1226262183249.0,4800256883075.0,1165030308901.0,157996348108.0,120084490895.0,직접,0.1356156547180662,2022Q1
090430,아모레퍼시픽,2022,2,연결,5893736926291.0,1132549202327.0,4761187723964.0,945722009548.0,-19524592214.0,-37216079729.0,직접,-0.020645170585943767,2022Q2
090430,아모레퍼시픽,2022,3,연결,5868503207596.0,1079757385065.0,4788745822531.0,936411432151.0,18804243476.0,21807350707.0,직접,0.020081176746000837,2022Q3
090430,아모레퍼시픽,2022,4,연결,5801783178159.0,1022508074100.0,4779275104059.0,1087768761511.0,56957256391.0,24588483085.0,역산,0.052361548158343596,2022Q4
090430,아모레퍼시픽,2023,1,연결,5886596551237.0,1048988868414.0,4837607682823.0,913697617945.0,64352596937.0,89699915726.0,직접,0.07043095623006615,2023Q1
090430,아모레퍼시픽,2023,2,연결,5871946490650.0,1027819179307.0,4844127311343.0,945384372586.0,5888759554.0,19306281964.0,직접,0.006228958003496414,2023Q2
090430,아모레퍼시픽,2023,3,연결,5862654698333.0,985959656002.0,4876695042331.0,888832482657.0,17253435444.0,26643196702.0,직접,0.019411346660536136,2023Q3
090430,아모레퍼시픽,2023,4,연결,5886510888702.0,1013805677645.0,4872705211057.0,926049119969.0,20676465127.0,38229534604.0,역산,0.02232761165810746,2023Q4
090430,아모레퍼시픽,2024,1,연결,6004336874938.0,1117939258979.0,4886397615959.0,911452525506.0,72675928942.0,80113584354.0,직접,0.07973638440647624,2024Q1
090430,아모레퍼시픽,2024,2,연결,6810769142910.0,1475020034989.0,5335749107921.0,904751327724.0,4153760695.0,530597868353.0,직접,0.004591052334180305,2024Q2
090430,아모레퍼시픽,2024,3,연결,6716788694124.0,1343904740175.0,5372883953949.0,977207865626.0,65170990869.0,37160331343.0,직접,0.06669102159472634,2024Q3
090430,아모레퍼시픽,2024,4,연결,6783507800768.0,1457499911662.0,5326007889106.0,1091698980330.0,78480663407.0,-46230410215.0,역산,0.0718885561139544,2024Q4
090430,아모레퍼시픽,2025,1,연결,6877582295704.0,1505856048879.0,5371726246825.0,1067512073116.0,117729877264.0,118952934878.0,직접,0.11028435202644028,2025Q1
090430,아모레퍼시픽,2025,2,연결,6764514199199.0,1392076184662.0,5372438014537.0,1005023630792.0,73662493730.0,37630569127.0,직접,0.07329429027648925,2025Q2
090430,아모레퍼시픽,2025,3,연결,6734001242179.0,1303508941162.0,5430492301017.0,1016903549806.0,91886526963.0,68238567058.0,직접,0.09035913679377919,2025Q3
090430,아모레퍼시픽,2025,4,연결,6961213309494.0,1457755533999.0,5503457775495.0,1163380967782.0,52547649106.0,22494198687.0,역산,0.045168049470658556,2025Q4
090430,아모레퍼시픽,2026,1,연결,7040950382981.0,1515611529714.0,5525338853267.0,1135756247274.0,126705584407.0,112997747830.0,직접,0.11156054365636468,2026Q1
090430,아모레퍼시픽,2026,2,연결,7087388771624.0,1455693559346.0,5631695212278.0,1175899264082.0,117338201084.0,93363202728.0,직접,0.09978592951633786,2026Q2
092730,네오팜,2021,1,연결,141121324587.0,22581022273.0,118540302314.0,22955715485.0,6699285331.0,5732149465.0,직접,0.2918351787108325,2021Q1
092730,네오팜,2021,2,연결,138736099682.0,16161210461.0,122574889221.0,21376589533.0,6107944679.0,4134812685.0,직접,0.285730549747933,2021Q2
092730,네오팜,2021,3,연결,141326771515.0,15741609309.0,125585162206.0,19447786055.0,3451618444.0,3104656001.0,직접,0.17748130477363996,2021Q3
092730,네오팜,2021,4,연결,143408028554.0,13103096004.0,130304932550.0,24150628658.0,6171996859.0,4741657614.0,역산,0.25556257546759553,2021Q4
092730,네오팜,2022,1,연결,148926067286.0,19169854179.0,129756213107.0,22346431640.0,6338287443.0,4924021834.0,직접,0.28363756438206883,2022Q1
092730,네오팜,2022,2,연결,147579706136.0,13099690591.0,134480015545.0,21478741284.0,4949293631.0,4599414056.0,직접,0.2304275453369719,2022Q2
092730,네오팜,2022,3,연결,149080163536.0,10622991390.0,138457172146.0,18828986225.0,4140328590.0,3979549642.0,직접,0.21989121137614515,2022Q3
092730,네오팜,2022,4,연결,155347426926.0,13136622381.0,142210804545.0,22378979083.0,6010880732.0,3524054201.0,역산,0.2685949483980757,2022Q4
092730,네오팜,2023,1,연결,162289798553.0,18877429870.0,143412368683.0,23585268343.0,7039629514.0,6808523277.0,직접,0.29847570151091074,2023Q1
092730,네오팜,2023,2,연결,161714684592.0,12599629142.0,149115055450.0,24498379477.0,6273246069.0,5469310352.0,직접,0.2560677972553066,2023Q2
092730,네오팜,2023,3,연결,169263364324.0,15253617156.0,154009747168.0,21808048917.0,5060789516.0,4931193914.0,직접,0.2320606274894665,2023Q3
092730,네오팜,2023,4,연결,177458518886.0,17432565201.0,160025953685.0,27213193762.0,6933639640.0,6003768574.0,역산,0.2547896325818988,2023Q4
092730,네오팜,2024,1,연결,183351581539.0,23098936505.0,160252645034.0,28215374365.0,6791868434.0,6111961135.0,직접,0.24071516280943026,2024Q1
092730,네오팜,2024,2,연결,181923208503.0,15839018725.0,166084189778.0,30620977220.0,6106596242.0,5882554143.0,직접,0.19942525668356184,2024Q2
092730,네오팜,2024,3,연결,183746735965.0,13240032854.0,170506703111.0,26150576680.0,5083231435.0,4335721734.0,직접,0.19438314868549966,2024Q3
092730,네오팜,2024,4,연결,192440283038.0,15555446511.0,176884836527.0,34026815430.0,6671718254.0,6734514590.0,역산,0.19607236732820518,2024Q4
092730,네오팜,2025,1,연결,200914982501.0,26282418568.0,174632563933.0,31608960291.0,7780423580.0,7136756769.0,직접,0.24614614047319092,2025Q1
092730,네오팜,2025,2,연결,196920462641.0,15304068455.0,181616394186.0,31982006218.0,7010729640.0,7066811995.0,직접,0.219208563471989,2025Q2
092730,네오팜,2025,3,연결,207375322752.0,18971202841.0,188404119911.0,32196031702.0,6768324258.0,6859279621.0,직접,0.21022231312996115,2025Q3
092730,네오팜,2025,4,연결,217810766237.0,22454309758.0,195356456479.0,36397098077.0,7215091888.0,6760029931.0,역산,0.1982326138401498,2025Q4
092730,네오팜,2026,1,별도,225350497010.0,33243958952.0,192106538058.0,36223935831.0,8704195880.0,8624099001.0,직접,0.2402885186360963,2026Q1
092730,네오팜,2026,2,별도,226230032160.0,25206782833.0,201023249327.0,43571648895.0,9789095195.0,8405205327.0,직접,0.2246666225230538,2026Q2
114840,아이패밀리에스씨,2021,3,별도,30862593502.0,11105593657.0,19756999845.0,14234697130.0,1038798217.0,769640156.0,직접,0.07297648889281286,2021Q3
114840,아이패밀리에스씨,2021,4,별도,52974587855.0,11441955204.0,41532632651.0,18302658004.0,1646318879.0,642110809.0,역산,0.08994971542604364,2021Q4
114840,아이패밀리에스씨,2022,1,별도,57914744220.0,13604987048.0,44309757172.0,22336547258.0,3503484014.0,2758904631.0,직접,0.15684984673471417,2022Q1
114840,아이패밀리에스씨,2022,2,별도,75106061515.0,28867055696.0,46239005819.0,21836404804.0,1995739837.0,1610567480.0,직접,0.0913950741852166,2022Q2
114840,아이패밀리에스씨,2022,3,별도,74128226811.0,26268282783.0,47859944028.0,21000669869.0,2062582368.0,1542446920.0,직접,0.09821507508408897,2022Q3
114840,아이패밀리에스씨,2022,4,별도,72333625980.0,22129450880.0,50204175100.0,20161547023.0,1946594810.0,1727446464.0,역산,0.09654987327010933,2022Q4
114840,아이패밀리에스씨,2023,1,별도,82724237364.0,29243913617.0,53480323747.0,32844018532.0,4657188489.0,3734961213.0,직접,0.14179715811761862,2023Q1
114840,아이패밀리에스씨,2023,2,별도,91833434407.0,34229733484.0,57603700923.0,36673100651.0,5060787696.0,4000464874.0,직접,0.13799726792018616,2023Q2
114840,아이패밀리에스씨,2023,3,연결,92334681459.0,29443774504.0,62890906955.0,37207605491.0,6653635385.0,5262235956.0,직접,0.1788246058083319,2023Q3
114840,아이패밀리에스씨,2023,4,연결,89832890141.0,20838610964.0,68994279177.0,41961188281.0,7624583570.0,6999434867.0,역산,0.18170561612651961,2023Q4
114840,아이패밀리에스씨,2024,1,연결,118499447102.0,41177379751.0,77322067351.0,57411304700.0,11761040185.0,9712830484.0,직접,0.2048558249365129,2024Q1
114840,아이패밀리에스씨,2024,2,연결,131236145012.0,47301022693.0,83935122319.0,49008529025.0,6956237730.0,6618161743.0,직접,0.14193932910027796,2024Q2
114840,아이패밀리에스씨,2024,3,연결,123732293579.0,35006106932.0,88726186647.0,50105152723.0,9087526114.0,7617463841.0,직접,0.18136909319964034,2024Q3
114840,아이패밀리에스씨,2024,4,연결,122318512016.0,30761092636.0,91557419380.0,48355619713.0,5827651503.0,4357060900.0,역산,0.12051653019004294,2024Q4
114840,아이패밀리에스씨,2025,1,연결,133220444251.0,37491579039.0,95728865212.0,54393895300.0,7145051931.0,6014211552.0,직접,0.13135760716515554,2025Q1
114840,아이패밀리에스씨,2025,2,연결,142590832599.0,41190048576.0,101400784023.0,57659513095.0,7178936728.0,5766088963.0,직접,0.12450567725349954,2025Q2
114840,아이패밀리에스씨,2025,3,연결,144815297869.0,38122020808.0,106693277061.0,53467225918.0,6184940598.0,5250243821.0,직접,0.11567723015002747,2025Q3
114840,아이패밀리에스씨,2025,4,연결,142391571157.0,37936561808.0,104455009349.0,58575419870.0,6618814938.0,4806217566.0,역산,0.11299645743367337,2025Q4
114840,아이패밀리에스씨,2026,1,연결,147892027137.0,42371445787.0,105520581350.0,54847089936.0,3691985400.0,2842307589.0,직접,0.0673141529351531,2026Q1
114840,아이패밀리에스씨,2026,2,연결,147403188177.0,40493797162.0,106909391015.0,58660342221.0,6814957283.0,6180534423.0,직접,0.1161765687851765,2026Q2
161890,한국콜마,2021,1,연결,2502697257787.0,1494609394101.0,1008087863686.0,395299035132.0,24246337586.0,15129267423.0,직접,0.061336698122482276,2021Q1
161890,한국콜마,2021,2,연결,2429177907809.0,1411239913815.0,1017937993994.0,412772220823.0,21322710368.0,12170708493.0,직접,0.05165732889070398,2021Q2
