종목코드,종목명,실제종목명,코드유효,이름일치,시장,유형,포함버전,시가총액,상장주식수,첫거래일,마지막거래일,거래일수,주가확보,비고
090430,아모레퍼시픽,아모레퍼시픽,True,True,KOSPI,브랜드,v1,7937467396300,58492759,2014-05-22,2026-08-12,3000,True,
278470,에이피알,에이피알,True,True,KOSPI,브랜드,v1,14862947535000,37438155,2024-02-27,2026-08-12,598,False,베타 추정구간 부족 → 시장조정모델 폴백 대상
237880,클리오,클리오,True,True,KOSDAQ,브랜드,v1,219747652480,18071353,2016-11-09,2026-08-12,2393,True,
018290,브이티,브이티,True,True,KOSDAQ,브랜드,v1,515392110500,34941838,2014-05-22,2026-08-12,3000,True,
092730,네오팜,네오팜,True,True,KOSDAQ,브랜드,v1,403905322800,16027989,2014-05-22,2026-08-12,3000,True,
483650,달바글로벌,달바글로벌,True,True,KOSPI,브랜드,v1,3273405730000,12493915,2025-05-22,2026-08-12,300,False,베타 추정구간 부족 → 시장조정모델 폴백 대상
161890,한국콜마,한국콜마,True,True,KOSPI,ODM,v1,3127672702500,23605077,2014-05-22,2026-08-12,3000,True,
192820,코스맥스,코스맥스,True,True,KOSPI,ODM,v1,2831702495500,11349509,2014-05-22,2026-08-12,3000,True,
241710,코스메카코리아,코스메카코리아,True,True,KOSDAQ GLOBAL,ODM,v1,1317912000000,10680000,2016-10-28,2026-08-12,2401,True,
257720,실리콘투,실리콘투,True,True,KOSDAQ,유통,v1,2967325403000,65576252,2021-09-29,2026-08-12,1192,False,베타 추정구간 부족 → 시장조정모델 폴백 대상
114840,아이패밀리에스씨,아이패밀리에스씨,True,True,KOSDAQ,유통,v1,162476689900,16681385,2021-10-28,2026-08-12,1173,False,베타 추정구간 부족 → 시장조정모델 폴백 대상
214450,파마리서치,파마리서치,True,True,KOSDAQ GLOBAL,메디컬,v2,4238976384000,10389648,2015-07-24,2026-08-12,2711,True,
